item_name,PDF,item_title
gathered_skirt,1," 'Gathered Skirt PDF, holiday skirt PDF, girls easy pattern, pdf pattern, girls skirt pdf, little girls pattern, pdf sewing, toddler skirt pdf'"
lottie,1," 'Lottie Bonnet PDF, bonnet pattern, newborn bonnet pdf, baby hat pattern, bonnet sewing, toddler bonnet pdf, baby patterns, baby bonnet pdf'"
constance,1," 'Constance Cape PDF, girl cape pattern, winter coat pdf, cape pdf, girl pattern, sewing pdf, girl coat pattern,wedding cape pdf,cape pattern'"
venezia,1," 'Diaper Cover PDF, baby patterns, diaper cover pattern, nappy cover pdf, baby nappy pdf, sewing patterns, easy patterns, toddler pattern'"
macy,1," 'Macy Pinafore PDF, suspender skirt pdf, pinafore pattern, toddler pinafore, sewing patterns, tween skirt pdf,pinny pattern,kids pinafore pdf'"
macy,1," 'Macy Pinafore PDF, suspender skirt pdf, pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns'"
macy,1," 'Macy Pinafore, suspender skirt pdf, pinafore pattern, toddler pinafore, tween skirt pdf, pinny pattern, kids pinafore pdf'"
sadie,1," 'Sadie Skirt PDF, girl skirt pattern, skirt pdf, sewing pdf, easy pattern, skirt pattern, sewing patterns, toddler patterns, tween pdf'"
custom,0, 'For Karen T.' 'Custom Listing for Karen T.'
macy,1," 'Macy Pinafore PDF, suspender skirt pdf, Easter PDF,pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns'"
marlow,1," 'Marlow Dress PDF, girl dress pattern, girl patterns, dress pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern, kids sewing'"
marlow,1," 'Marlow Dress PDF, girl dress pattern, girl patterns, dress pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern,summer dress pdf'"
custom,0," 'Girl Holiday Skirt, sequined girl skirt, birthday skirt, sequin skirt, frozen colors, frozen birthday, size 2T, 3T, 4T, 5, 6, 8, 10, 12'"
custom,0," 'Girl Blouse, ruffled girl top, sleeveless top, children clothing, special occasion, boutique clothing, size 12mo, 2T, 3T, 4T, 5, 6, 7, 8'"
hastings,1," 'Hastings Vest PDF, vest pattern, sewing for boys, fall patterns, boy pdf, easy pattern, easter vest pdf, boy pattern, outerwear pdf,'"
custom,0, 'Custom Listing for Teresa' 'Custom Listing for Kimberly.'
lottie,1," 'Lottie Bonnet PDF, bonnet pattern, newborn bonnet pdf, sewing pattern, toddler bonnet pdf, baby patterns, baby bonnet pdf'"
venezia,1," 'Diaper Cover PDF,baby sewing patterns,diaper cover pattern, nappy cover pdf, baby nappy pdf, sewing patterns, easy patterns, toddler pattern'"
